city	x	y
0	0	0
2000	872	195
2001	80	662
2002	946	910
2003	942	914
2004	125	86
2005	305	785
2006	705	934
2007	454	61
2008	297	521
2009	278	142
2010	575	77
2011	454	533
2012	228	728
2013	639	504
2014	332	904
2015	748	993
2016	976	590
2017	956	936
2018	173	220
2019	728	1
2020	969	988
2021	811	992
2022	466	239
2023	273	693
2024	395	790
2025	573	464
2026	860	756
2027	894	990
2028	907	56
2029	679	174
2030	188	599
2031	115	833
2032	749	778
2033	975	3
2034	861	556
2035	604	818
2036	652	275
2037	282	651
2038	460	629
2039	883	241
2040	327	123
2041	285	271
2042	287	484
2043	515	27
2044	607	244
2045	478	163
2046	836	429
2047	614	508
2048	309	617
2049	173	949
2050	625	596
2051	23	836
2052	636	230
2053	71	999
2054	294	24
2055	381	942
2056	307	781
2057	970	639
2058	32	942
2059	834	170
2060	447	921
2061	528	932
2062	309	350
2063	671	54
2064	240	795
2065	896	412
2066	913	238
2067	187	322
2068	194	926
2069	27	937
2070	21	947
2071	965	548
2072	919	540
2073	5	901
2074	999	811
2075	988	736
2076	853	423
2077	347	139
2078	636	335
2079	790	442
2080	33	172
2081	41	279
2082	461	341
2083	441	639
2084	746	843
2085	350	891
2086	185	715
2087	898	575
2088	125	397
2089	547	775
2090	323	37
2091	919	157
2092	213	843
2093	536	841
2094	297	612
2095	671	208
2096	918	843
2097	482	665
2098	983	373
2099	643	351
2100	770	166
2101	703	767
2102	904	33
2103	869	482
2104	996	186
2105	522	177
2106	622	718
2107	708	93
2108	976	678
2109	717	519
2110	292	923
2111	541	709
2112	203	7
2113	416	486
2114	606	467
2115	390	659
2116	240	824
2117	673	562
2118	849	567
2119	661	142
2120	675	142
2121	573	287
2122	534	812
2123	122	715
2124	467	30
2125	273	951
2126	570	511
2127	209	437
2128	150	925
2129	745	819
2130	266	322
2131	813	977
2132	946	809
2133	910	778
2134	991	384
2135	380	696
2136	505	570
2137	839	100
2138	912	774
2139	149	638
2140	353	985
2141	945	207
2142	354	604
2143	574	368
2144	51	524
2145	111	536
2146	709	657
2147	571	443
2148	116	598
2149	552	89
2150	270	725
2151	734	925
2152	578	525
2153	131	758
2154	561	706
2155	274	900
2156	707	222
2157	674	196
2158	204	202
2159	129	714
2160	452	84
2161	539	19
2162	293	749
2163	70	331
2164	706	889
2165	15	281
